año,carrera,ingresos_H,ingresos_M,puntaje_H,puntaje_M,total_ingresos,brecha_ingresos,brecha_puntaje,titulaciones_M,titulaciones_H,total_titulaciones,brecha_titulaciones,asistencia_H,asistencia_M,autoconfianza_H,autoconfianza_M,motivacion_H,motivacion_M,participacion_H,participacion_M,brecha_motivacion,brecha_asistencia,brecha_participacion,brecha_autoconfianza,repr_prom_H,repr_prom_M,repr_min_H,repr_min_M,repr_max_H,repr_max_M,brecha_reprobaciones,riesgo_alto_H,riesgo_alto_M,riesgo_bajo_H,riesgo_bajo_M,riesgo_medio_H,riesgo_medio_M,asistencia_H_bajo,asistencia_M_bajo,autoconfianza_H_bajo,autoconfianza_M_bajo,motivacion_H_bajo,motivacion_M_bajo,participacion_H_bajo,participacion_M_bajo,repr_prom_H_bajo,repr_prom_M_bajo,repr_min_H_bajo,repr_min_M_bajo,repr_max_H_bajo,repr_max_M_bajo,asistencia_H_medio,asistencia_M_medio,autoconfianza_H_medio,autoconfianza_M_medio,motivacion_H_medio,motivacion_M_medio,participacion_H_medio,participacion_M_medio,repr_prom_H_medio,repr_prom_M_medio,repr_min_H_medio,repr_min_M_medio,repr_max_H_medio,repr_max_M_medio,asistencia_H_alto,asistencia_M_alto,autoconfianza_H_alto,autoconfianza_M_alto,motivacion_H_alto,motivacion_M_alto,participacion_H_alto,participacion_M_alto,repr_prom_H_alto,repr_prom_M_alto,repr_min_H_alto,repr_min_M_alto,repr_max_H_alto,repr_max_M_alto
2007,Ingeniería Civil,,,,,,,,12.0,42.0,54.0,-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Ingeniería Civil,,,,,,,,10.0,27.0,37.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Ingeniería Civil,,,,,,,,6.0,47.0,53.0,-41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Ingeniería Civil,,,,,,,,4.0,37.0,41.0,-33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Ingeniería Civil,,,,,,,,8.0,35.0,43.0,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Ingeniería Civil,,,,,,,,6.0,47.0,53.0,-41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Ingeniería Civil,44.0,22.0,701.91,685.82,66.0,-22.0,-16.09,4.0,33.0,37.0,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Ingeniería Civil,47.0,18.0,711.45,713.78,65.0,-29.0,2.33,7.0,43.0,50.0,-36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Ingeniería Civil,50.0,16.0,712.04,705.94,66.0,-34.0,-6.1,7.0,25.0,32.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ingeniería Civil,48.0,17.0,708.42,714.47,65.0,-31.0,6.05,5.0,44.0,49.0,-39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ingeniería Civil,45.0,14.0,706.33,714.64,59.0,-31.0,8.31,15.0,53.0,68.0,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Ingeniería Civil,,,,,,,,20.0,47.0,67.0,-27.0,4.0,,4.0,,5.0,,4.0,,,,,,3.0,,3.0,,3.0,,,0.0,,100.0,,0.0,,4.0,,4.0,,5.0,,4.0,,3.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Ingeniería Civil,,,,,,,,14.0,36.0,50.0,-22.0,2.43,3.0,3.61,3.0,4.35,4.0,1.87,2.0,-0.35,0.57,0.13,-0.61,6.0,4.0,2.0,4.0,3.65,4.0,-2.0,0.0,0.0,43.48,100.0,56.52,0.0,3.0,3.0,4.0,3.0,4.2,4.0,1.4,2.0,3.0,4.0,2.0,4.0,2.4,4.0,2.0,,3.31,,4.46,,2.23,,6.0,,3.0,,4.62,,,,,,,,,,,,,,,
2020,Ingeniería Civil,,,,,,,,10.0,36.0,46.0,-26.0,3.74,,3.52,,3.87,,2.7,,,,,,7.0,,3.0,,4.61,,,0.0,,43.48,,56.52,,3.8,,3.8,,3.7,,2.3,,7.0,,3.0,,5.4,,3.69,,3.31,,4.0,,3.0,,4.0,,4.0,,4.0,,,,,,,,,,,,,,,
2021,Ingeniería Civil,,,,,,,,16.0,32.0,48.0,-16.0,3.63,2.73,4.12,3.0,4.31,4.59,3.58,2.09,0.28,-0.9,-1.49,-1.12,8.0,4.0,0.0,0.0,1.33,1.86,-4.0,0.0,13.64,77.88,9.09,22.12,77.27,3.72,5.0,4.38,4.0,4.3,5.0,3.65,3.0,5.0,0.0,0.0,0.0,0.85,0.0,3.32,2.76,3.24,3.06,4.36,4.47,3.36,2.18,8.0,3.0,0.0,0.0,3.0,1.71,,1.0,,2.0,,5.0,,1.0,,4.0,,4.0,,4.0
2022,Ingeniería Civil,,,,,,,,19.0,43.0,62.0,-24.0,3.29,,3.57,,4.71,,3.2,,,,,,14.0,,0.0,,3.04,,,13.73,,60.78,,25.49,,3.68,,3.58,,4.68,,3.39,,7.0,,0.0,,2.03,,3.08,,3.62,,4.77,,2.08,,14.0,,0.0,,5.85,,2.0,,3.43,,4.71,,4.43,,8.0,,0.0,,2.29,
2023,Ingeniería Civil,,,,,,,,17.0,48.0,65.0,-31.0,3.47,3.15,3.63,3.46,4.09,4.23,2.19,2.54,0.14,-0.32,0.35,-0.17,8.0,6.0,3.0,4.0,4.67,5.23,-2.0,0.0,0.0,58.14,61.54,41.86,38.46,3.52,3.25,3.36,3.75,4.08,3.75,2.32,2.25,5.0,5.0,3.0,4.0,3.72,4.75,3.39,3.0,4.0,3.0,4.11,5.0,2.0,3.0,8.0,6.0,3.0,6.0,6.0,6.0,,,,,,,,,,,,,,
2024,Ingeniería Civil,,,,,,,,12.0,36.0,48.0,-24.0,3.93,3.52,4.28,3.17,4.51,4.22,2.19,2.26,-0.29,-0.41,0.07,-1.11,2.0,2.0,0.0,0.0,0.85,0.91,0.0,13.43,8.7,70.15,69.57,16.42,21.74,4.09,4.0,4.45,3.69,4.6,4.44,2.28,2.5,2.0,2.0,0.0,0.0,1.13,1.31,4.64,3.0,4.0,2.0,5.0,4.0,2.64,2.0,1.0,0.0,0.0,0.0,0.36,0.0,2.22,1.0,3.78,2.0,3.44,3.0,1.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,Ingeniería Civil,,,,,,,,,,,,3.62,3.25,3.55,3.41,4.55,4.49,2.58,2.73,-0.06,-0.37,0.15,-0.14,2.0,3.0,0.0,0.0,0.08,0.15,1.0,9.09,12.5,44.76,44.32,46.15,43.18,4.17,3.64,3.75,3.44,4.73,4.62,2.62,3.21,0.0,1.0,0.0,0.0,0.0,0.05,3.29,3.26,3.5,3.34,4.48,4.5,2.59,2.5,1.0,3.0,0.0,0.0,0.05,0.24,2.54,1.82,2.77,3.55,4.0,4.0,2.31,1.82,2.0,1.0,0.0,0.0,0.62,0.18
2007,Ingeniería Civil Electrónica,,,,,,,,1.0,23.0,24.0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Ingeniería Civil Electrónica,,,,,,,,5.0,40.0,45.0,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Ingeniería Civil Electrónica,,,,,,,,0.0,47.0,47.0,-47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Ingeniería Civil Electrónica,,,,,,,,3.0,22.0,25.0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Ingeniería Civil Electrónica,,,,,,,,4.0,27.0,31.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Ingeniería Civil Electrónica,,,,,,,,1.0,30.0,31.0,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Ingeniería Civil Electrónica,52.0,0.0,651.79,,52.0,-52.0,,1.0,37.0,38.0,-36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Ingeniería Civil Electrónica,50.0,1.0,659.46,638.0,51.0,-49.0,-21.46,5.0,39.0,44.0,-34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Ingeniería Civil Electrónica,41.0,4.0,664.68,676.5,45.0,-37.0,11.82,0.0,23.0,23.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ingeniería Civil Electrónica,51.0,3.0,670.67,696.67,54.0,-48.0,26.0,1.0,25.0,26.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ingeniería Civil Electrónica,42.0,3.0,663.48,653.67,45.0,-39.0,-9.81,0.0,35.0,35.0,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Ingeniería Civil Electrónica,,,,,,,,2.0,16.0,18.0,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Ingeniería Civil Electrónica,,,,,,,,2.0,13.0,15.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Ingeniería Civil Electrónica,,,,,,,,0.0,14.0,14.0,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Ingeniería Civil Electrónica,,,,,,,,1.0,16.0,17.0,-15.0,3.0,2.0,3.18,2.0,4.0,5.0,3.27,2.0,1.0,-1.0,-1.27,-1.18,7.0,5.0,4.0,5.0,4.82,5.0,-2.0,0.0,0.0,27.27,0.0,72.73,100.0,3.0,,3.0,,4.0,,3.0,,4.0,,4.0,,4.0,,3.0,2.0,3.25,2.0,4.0,5.0,3.38,2.0,7.0,5.0,4.0,5.0,5.12,5.0,,,,,,,,,,,,,,
2022,Ingeniería Civil Electrónica,,,,,,,,0.0,22.0,22.0,-22.0,3.15,,3.37,,4.83,,3.37,,,,,,4.0,,2.0,,2.98,,,24.39,,31.71,,43.9,,4.08,,2.38,,5.0,,2.46,,4.0,,2.0,,2.92,,3.11,,3.72,,4.61,,3.67,,4.0,,2.0,,2.44,,2.0,,4.0,,5.0,,4.0,,4.0,,4.0,,4.0,
2023,Ingeniería Civil Electrónica,,,,,,,,5.0,18.0,23.0,-13.0,3.75,,3.89,,4.14,,2.25,,,,,,3.0,,0.0,,1.39,,,10.71,,46.43,,42.86,,4.31,,4.31,,4.23,,2.62,,2.0,,0.0,,0.77,,3.33,,3.67,,4.33,,1.67,,2.0,,1.0,,1.67,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,
2024,Ingeniería Civil Electrónica,,,,,,,,4.0,29.0,33.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Ingeniería Civil Electrónica,,,,,,,,,,,,3.66,3.19,3.47,3.05,4.68,4.48,2.27,2.0,-0.2,-0.47,-0.27,-0.42,1.0,0.0,0.0,0.0,0.05,0.0,-1.0,0.0,0.0,61.02,14.29,38.98,85.71,3.94,3.0,3.56,2.0,4.61,4.0,2.39,2.0,1.0,0.0,0.0,0.0,0.08,0.0,3.22,3.22,3.35,3.22,4.78,4.56,2.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2007,Ingeniería Civil Eléctrica,,,,,,,,3.0,12.0,15.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Ingeniería Civil Eléctrica,,,,,,,,2.0,29.0,31.0,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Ingeniería Civil Eléctrica,,,,,,,,2.0,24.0,26.0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Ingeniería Civil Eléctrica,,,,,,,,3.0,22.0,25.0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Ingeniería Civil Eléctrica,,,,,,,,0.0,24.0,24.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Ingeniería Civil Eléctrica,,,,,,,,5.0,22.0,27.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Ingeniería Civil Eléctrica,42.0,8.0,656.5,645.25,50.0,-34.0,-11.25,2.0,31.0,33.0,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
